station,latitude,longitude,cumulative,significant,spring,spring_negative,spring_signif
Adelaide,-34.92,138.62,330,yes,2.21,pos,yes
Albany Airport,-34.94,117.8,30,no,0.32,pos,no
Alice Springs,-23.8,133.89,638,yes,3.09,pos,no
Amberley,-27.63,152.71,317,yes,1.63,pos,no
Brisbane Airport,-27.39,153.13,0,no,0.94,neg,no
Broome,-17.95,122.23,50,no,0.55,pos,no
Cairns,-16.87,145.75,49,no,0.51,pos,no
Canberra,-35.3,149.2,170,no,1.1,pos,no
Carnarvon,-24.89,113.67,60,no,0.43,pos,yes
Ceduna,-32.13,133.7,282,yes,3.78,pos,no
Charleville,-26.42,146.25,122,no,1.51,pos,no
Cobar,-31.49,145.83,564,yes,3.43,pos,yes
Coffs Harbour,-30.31,153.12,48,no,0.16,neg,no
Darwin,-12.42,130.89,59,no,0.21,pos,no
Esperance,-33.83,121.89,94,no,0.43,pos,no
Geraldton,-28.8,114.7,126,no,2.04,pos,yes
Hobart,-42.89,147.33,48,no,0.38,pos,no
Kalgoorlie,-30.78,121.45,323,no,2.69,pos,yes
Launceston Airport,-41.54,147.2,85,yes,0.38,pos,no
Laverton,-37.86,144.76,183,yes,2.1,pos,yes
Mackay,-21.12,149.22,105,yes,0.16,pos,no
Meekatharra,-26.61,118.54,346,no,1.86,pos,no
Melbourne Airport,-37.68,144.84,312,yes,3.32,pos,yes
Mildura,-34.23,142.08,645,yes,4.17,pos,yes
Moree,-29.49,149.85,231,no,2.3,pos,no
Mt Gambier,-37.75,140.77,70,no,1.07,pos,yes
Mt Isa,-20.68,139.49,323,no,1.88,pos,no
Nowra,-34.95,150.54,153,yes,1.83,pos,no
Perth Airport,-31.93,115.98,160,yes,1.77,pos,yes
Port Hedland,-20.37,118.63,82,no,1.05,pos,no
Rockhampton,-23.38,150.48,343,yes,1.91,pos,no
Sale,-38.12,147.13,193,yes,1.79,pos,yes
Sydney Airport,-33.94,151.17,27,no,2.34,pos,yes
Tennant Creek,-19.64,134.18,240,no,0.42,pos,no
Townsville,-19.25,146.77,1,no,0.06,pos,no
Wagga Wagga,-35.16,147.46,439,yes,2.85,pos,no
Williamtown,-32.79,151.84,87,no,1.86,pos,no
Woomera,-31.16,136.81,689,yes,4.58,pos,yes
