location-name,word,state,lat,lon,count
Adelaide,fritz,SA,-34.9286212,138.5999594,4
Albury,devon,NSW,-36.0807785,146.9164693,2
Allansford,German sausage,VIC,-38.3854681,142.5908483,2
Androssan,fritz,SA,-34.4230702,137.9174283,1
Angaston,fritz,SA,-34.5011446,139.0480842,1
Ardlethan,devon,NSW,-34.3570342,146.9034906,2
Ariah Park,devon,NSW,-34.3480937,147.2190117,1
Ballarat,German sausage,VIC,-37.5636495,143.8671868,1
Ballarat,Strasburg,VIC,-37.5636495,143.8671868,1
Balranald,Strasburg,NSW,-34.6394729,143.5629803,1
Barellan,devon,NSW,-34.2847539,146.5722145,1
Barmedman,devon,NSW,-34.1428108,147.3863825,2
Batemans Bay,devon,NSW,-35.7084199,150.1776133,2
Bathurst,devon,NSW,-33.4176529,149.5810314,3
Bega,devon,NSW,-36.6742276,149.8429277,1
Benalla,German sausage,VIC,-36.5514956,145.9817019,1
Bendigo,German sausage,VIC,-36.7587112,144.2837459,2
Bendoc,devon,VIC,-37.1459017,148.8750406,1
Bermagui,devon,NSW,-36.4292545,150.076035,3
Berri,fritz,SA,-34.2852369,140.6022954,1
Birchip,German sausage,VIC,-35.980698,142.9173414,1
Bombala,devon,NSW,-36.9122623,149.2382362,2
Bordertown,fritz,SA,-36.3111665,140.7733804,6
Bribbaree,devon,NSW,-34.120968,147.8838165,1
Brisbane,Windsor sausage,QLD,-27.4710107,153.0234489,2
Broken Hill,fritz,NSW,-31.9558583,141.4651361,1
Burra,fritz,SA,-33.6827177,138.9379596,5
Camperdown,German sausage,VIC,-38.2339319,143.1496795,1
Canberra,devon,ACT,-35.282,149.128684,21
Cann River,Strasburg,VIC,-37.5652147,149.1513706,1
Caragabal,devon,NSW,-33.8439588,147.7401953,2
Cassilis,devon,NSW,-32.0063935,149.9788361,1
Casterton,German sausage,VIC,-37.5845678,141.4052329,1
Casterton,fritz,VIC,-37.5845678,141.4052329,4
Cessnock,Empire sausage,NSW,-32.8345782,151.3564619,1
Cessnock,devon,NSW,-32.8345782,151.3564619,3
Clare,fritz,SA,-33.8332575,138.6118517,4
Coffs Harbour,devon,NSW,-30.2963121,153.1156722,1
Colac,German sausage,VIC,-38.3400445,143.5844382,1
Coleambally,devon,NSW,-34.7970145,145.8793249,2
Condobolin,devon,NSW,-33.0889514,147.1510598,2
Coobowie,fritz,SA,-35.0441306,137.7315702,1
Coolamon,devon,NSW,-34.8173634,147.1979156,2
Cooma,devon,NSW,-36.2352845,149.1252802,2
Corryong,devon,VIC,-36.1960059,147.9039936,1
Cowra,devon,NSW,-33.8347103,148.6912183,1
Culcairn,devon,NSW,-35.6676244,147.0380914,2
Curlwaa,polony,NSW,-34.0985672,141.9679627,1
Curramulka,fritz,SA,-34.6990161,137.7100843,1
Dalby,luncheon sausage,QLD,-27.1832863,151.2637479,1
Dareton,devon,NSW,-34.108367,142.1381578,1
Dareton,fritz,NSW,-34.108367,142.1381578,1
Dareton,polony,NSW,-34.108367,142.1381578,4
Delegate,devon,NSW,-37.0438422,148.9416796,1
Deniliquin,devon,NSW,-35.52314,144.9823858,1
Deniliquin,fritz,NSW,-35.52314,144.9823858,1
Dubbo,devon,NSW,-32.2438146,148.6094976,1
Echuca,German sausage,VIC,-36.1277236,144.7494973,2
Eden,devon,NSW,-37.0637713,149.9020872,5
Edenhope,fritz,VIC,-37.0359278,141.2971462,1
Geelong,Strasburg,VIC,-38.15,144.35,1
Glen Innes,devon,NSW,-29.7376638,151.7402506,1
Gloucester,devon,NSW,-32.0076329,151.9582565,1
Goolgowi,devon,NSW,-33.9805417,145.7120997,1
Goolwa,fritz,SA,-35.5019829,138.7830996,3
Gosford,devon,NSW,-33.42502,151.3422194,1
Goulburn,devon,NSW,-34.7548346,149.7186486,1
Grafton,devon,NSW,-29.6911226,152.9331993,1
Grenfell,devon,NSW,-33.8937763,148.1614604,2
Griffith,devon,NSW,-34.2872974,146.0458369,4
Grong Grong,devon,NSW,-34.738855,146.7846172,1
Gundagai,devon,NSW,-35.065339,148.1071728,1
Gympie,Windsor sausage,QLD,-26.1902977,152.6653914,2
Hay,German sausage,NSW,-34.509313,144.8435657,1
Hay,devon,NSW,-34.509313,144.8435657,4
Henty,devon,NSW,-35.5170955,147.0342298,3
Henty,luncheon sausage,NSW,-35.5170955,147.0342298,1
Hillston,devon,NSW,-33.4856919,145.5316166,2
Hobart,Belgium sausage,TAS,-42.881903,147.323814,3
Holbrook,devon,NSW,-35.7268382,147.311636,2
Hopetoun,polony,VIC,-35.7277152,142.3635906,2
Ipswich,Strasburg,QLD,-27.6140934,152.7584716,2
Ivanhoe,devon,NSW,-32.8997751,144.3004456,1
Ivanhoe,fritz,NSW,-32.8997751,144.3004456,1
Jeparit,Strasburg,VIC,-36.1409159,141.9888636,2
Jeparit,fritz,VIC,-36.1409159,141.9888636,1
Jeparit,polony,VIC,-36.1409159,141.9888636,2
Jerilderie,devon,NSW,-35.3567745,145.7309442,1
Junee,devon,NSW,-34.8703676,147.5848314,2
Kadina,fritz,SA,-33.9635146,137.7142422,4
Kangaroo Valley,devon,NSW,-34.7341224,150.5258765,1
Keith,fritz,SA,-36.098124,140.3536136,2
Kilmore,fritz,VIC,-37.2928685,144.9512582,1
Kingston,fritz,SA,-36.8299148,139.8527797,3
Kingston-on-Murray,fritz,SA,-34.2234177,140.3473068,1
Kybybolite,Strasburg,SA,-36.8714444,140.9238129,1
Kybybolite,fritz,SA,-36.8714444,140.9238129,1
Lake Cargelligo,devon,NSW,-33.2983593,146.3739716,1
Lameroo,fritz,SA,-35.3288867,140.5195645,5
Leeton,devon,NSW,-34.5513933,146.4066521,1
Lismore ,Byron sausage,NSW,-28.8279803,153.2857165,1
Lismore ,devon,NSW,-28.8279803,153.2857165,2
Lithgow,devon,NSW,-33.4809335,150.1574085,2
Loxton,fritz,SA,-34.4503873,140.5702742,1
Lyndoch,fritz,SA,-34.6011553,138.8908171,1
Mackay,devon,QLD,-21.1412101,149.1856253,1
Maitland,fritz,SA,-34.374162,137.6732468,2
Manangatang,German sausage,VIC,-35.0528809,142.8828383,3
Mannum,fritz,SA,-34.9143809,139.3115815,2
Melbourne,German sausage,VIC,-37.814107,144.96328,1
Meningie,fritz,SA,-35.6865288,139.3386833,4
Merimbula,devon,NSW,-36.8880112,149.9063277,2
Mildura,Strasburg,VIC,-34.2063006,142.1358321,1
Mildura,fritz,VIC,-34.2063006,142.1358321,1
Mildura,polony,VIC,-34.2063006,142.1358321,1
Millicent,fritz,SA,-37.5949432,140.3536982,4
Minlaton,fritz,SA,-34.7698951,137.595917,2
Mintaro,fritz,SA,-33.9168,138.7239185,1
Miram,polony,VIC,-36.352672,141.3483244,1
Moe,Strasburg,VIC,-38.1747552,146.2626215,1
Moe,luncheon sausage,VIC,-38.1747552,146.2626215,1
Molong,devon,NSW,-33.0922899,148.8712315,1
Moonta,fritz,SA,-34.0686198,137.5918907,6
Morgan,fritz,SA,-34.0350657,139.6720121,3
Moruya,German sausage,NSW,-35.9093188,150.082377,1
Moruya,devon,NSW,-35.9093188,150.082377,1
Mount Gambier,fritz,SA,-37.8279225,140.7752527,6
Mulbring,Empire sausage,NSW,-32.9028391,151.4823762,1
Mullumbimby,Byron sausage,NSW,-28.5533847,153.4995821,1
Mulwala,devon,NSW,-35.987951,146.006691,1
Murray Bridge,fritz,SA,-35.1197018,139.2747261,2
Murrayville,fritz,VIC,-35.2623822,141.1833422,4
Naracoorte,fritz,SA,-36.9550218,140.7430918,3
Narooma,devon,NSW,-36.2182385,150.1323002,1
Narrabri,devon,NSW,-30.3250572,149.7829808,1
Narrandera,devon,NSW,-34.7479014,146.5503637,5
Nhill,Strasburg,VIC,-36.332472,141.6494937,1
Nimmitabel,devon,NSW,-36.5123017,149.2843954,1
Norwell,Windsor sausage,QLD,-27.7867664,153.3150421,1
Nowra,devon,NSW,-34.8746265,150.6029082,2
Nullawil,Strasburg,VIC,-35.8527061,143.1768691,1
Nuriootpa,fritz,SA,-34.4722763,138.9963035,3
Oberon,devon,NSW,-33.704174,149.8574075,1
Orbost,devon,VIC,-37.7071796,148.4549611,1
Ouyen,Strasburg,VIC,-35.0706191,142.3149438,2
Ouyen,fritz,VIC,-35.0706191,142.3149438,1
Ouyen,luncheon sausage,VIC,-35.0706191,142.3149438,1
Ouyen,polony,VIC,-35.0706191,142.3149438,2
Pambula,devon,NSW,-36.9295659,149.8745515,1
Parkes,devon,NSW,-33.1378642,148.1748388,3
Parrakie,fritz,SA,-35.3777343,140.2535608,1
Penola,fritz,SA,-37.3789874,140.8407186,8
Pinnaroo,fritz,SA,-35.2604045,140.9084344,5
Port Elliott,fritz,SA,-35.5303762,138.6810342,1
Port Lincoln,fritz,SA,-34.7195321,135.8574623,2
Port Pirie,fritz,SA,-33.1770846,138.0100573,1
Portland,German sausage,VIC,-38.3463453,141.6042096,3
Portland,fritz,VIC,-38.3463453,141.6042096,3
