location-name,word,state,lat,lon,count
Adelaide,garbage bin,SA,-34.9286212,138.5999594,1
Adelaide,rubbish bin,SA,-34.9286212,138.5999594,3
Albany,dust bin,WA,-35.0238227,117.8847286,1
Allansford,rubbish bin,VIC,-38.3854681,142.5908483,2
Androssan,rubbish bin,SA,-34.4230702,137.9174283,1
Angaston,garbage bin,SA,-34.5011446,139.0480842,1
Ardlethan,garbage bin,NSW,-34.3570342,146.9034906,1
Ardlethan,rubbish bin,NSW,-34.3570342,146.9034906,1
Ariah Park,garbage bin,NSW,-34.3480937,147.2190117,1
Ballarat,rubbish bin,VIC,-37.5636495,143.8671868,1
Balranald,garbage bin,NSW,-34.6394729,143.5629803,1
Barmedman,rubbish bin,NSW,-34.1428108,147.3863825,2
Batemans Bay,dust bin,NSW,-35.7084199,150.1776133,1
Batemans Bay,garbage bin,NSW,-35.7084199,150.1776133,1
Bathurst,garbage bin,NSW,-33.4176529,149.5810314,2
Bega,garbage bin,NSW,-36.6742276,149.8429277,1
Benalla,rubbish bin,VIC,-36.5514956,145.9817019,1
Bendigo,garbage bin,VIC,-36.7587112,144.2837459,1
Bendigo,rubbish bin,VIC,-36.7587112,144.2837459,3
Bendoc,garbage bin,VIC,-37.1459017,148.8750406,1
Bermagui,garbage bin,NSW,-36.4292545,150.076035,2
Berri,rubbish bin,SA,-34.2852369,140.6022954,1
Birchip,rubbish bin,VIC,-35.980698,142.9173414,1
Bombala,garbage bin,NSW,-36.9122623,149.2382362,1
Booligal,garbage bin,NSW,-33.8695883,144.8846748,1
Bordertown,rubbish bin,SA,-36.3111665,140.7733804,4
Braidwood,garbage bin,NSW,-35.4459966,149.7990438,1
Bribbaree,garbage bin,NSW,-34.120968,147.8838165,1
Brisbane,rubbish bin,QLD,-27.4710107,153.0234489,2
Broken Hill,garbage bin,NSW,-31.9558583,141.4651361,1
Burra,rubbish bin,SA,-33.6827177,138.9379596,4
Camperdown,rubbish bin,VIC,-38.2339319,143.1496795,1
Canberra,garbage bin,ACT,-35.282,149.128684,24
Canberra,rubbish bin,ACT,-35.282,149.128684,1
Cann River,rubbish bin,VIC,-37.5652147,149.1513706,1
Caragabal,garbage bin,NSW,-33.8439588,147.7401953,1
Casterton,garbage bin,VIC,-37.5845678,141.4052329,1
Casterton,rubbish bin,VIC,-37.5845678,141.4052329,2
Cessnock,garbage bin,NSW,-32.8345782,151.3564619,3
Clare,garbage bin,SA,-33.8332575,138.6118517,2
Clare,rubbish bin,SA,-33.8332575,138.6118517,3
Colac,dust bin,VIC,-38.3400445,143.5844382,1
Coleambally,garbage bin,NSW,-34.7970145,145.8793249,1
Condobolin,garbage bin,NSW,-33.0889514,147.1510598,2
Coobowie,garbage bin,SA,-35.0441306,137.7315702,1
Coolamon,garbage bin,NSW,-34.8173634,147.1979156,2
Cooma,garbage bin,NSW,-36.2352845,149.1252802,1
Corryong,dust bin,VIC,-36.1960059,147.9039936,1
Corryong,garbage bin,VIC,-36.1960059,147.9039936,1
Corryong,rubbish bin,VIC,-36.1960059,147.9039936,1
Culcairn,garbage bin,NSW,-35.6676244,147.0380914,1
Curramulka,rubbish bin,SA,-34.6990161,137.7100843,1
Dalby,rubbish bin,QLD,-27.1832863,151.2637479,2
Dareton,garbage bin,NSW,-34.108367,142.1381578,2
Dareton,rubbish bin,NSW,-34.108367,142.1381578,3
Darwin,rubbish bin,NT,-12.4628271,130.8417772,1
Delegate,garbage bin,NSW,-37.0438422,148.9416796,1
Deniliquin,garbage bin,NSW,-35.52314,144.9823858,3
Echuca,dust bin,VIC,-36.1277236,144.7494973,2
Echuca,garbage bin,VIC,-36.1277236,144.7494973,1
Eden,garbage bin,NSW,-37.0637713,149.9020872,3
Edenhope,rubbish bin,VIC,-37.0359278,141.2971462,1
Forbes,garbage bin,NSW,-33.3853703,148.0080124,3
Geelong,rubbish bin,VIC,-38.15,144.35,1
Glen Innes,rubbish bin,NSW,-29.7376638,151.7402506,1
Gloucester,garbage bin,NSW,-32.0076329,151.9582565,1
Goolgowi,dust bin,NSW,-33.9805417,145.7120997,1
Goolwa,garbage bin,SA,-35.5019829,138.7830996,2
Gosford,garbage bin,NSW,-33.42502,151.3422194,1
Goulburn,garbage bin,NSW,-34.7548346,149.7186486,1
Grafton,garbage bin,NSW,-29.6911226,152.9331993,1
Grenfell,garbage bin,NSW,-33.8937763,148.1614604,1
Griffith,garbage bin,NSW,-34.2872974,146.0458369,2
Grong Grong,garbage bin,NSW,-34.738855,146.7846172,1
Gundagai,garbage bin,NSW,-35.065339,148.1071728,1
Gympie,rubbish bin,QLD,-26.1902977,152.6653914,1
Hay,garbage bin,NSW,-34.509313,144.8435657,4
Hay,rubbish bin,NSW,-34.509313,144.8435657,1
Henty,garbage bin,NSW,-35.5170955,147.0342298,2
Henty,rubbish bin,NSW,-35.5170955,147.0342298,1
