location-name,word,state,lat,lon,location-code,code,count
Batemans Bay,port,NSW,-35.708419899999996,150.17761330000002,1,1,1
Bathurst,port,NSW,-33.4176529,149.5810314,2,2,2
Bermagui,port,NSW,-36.4292545,150.07603500000002,2,2,2
Bombala,port,NSW,-36.912262299999995,149.2382362,1,1,1
Brisbane,port,QLD,-27.4710107,153.0234489,2,2,2
Caragabal,port,NSW,-33.843958799999996,147.7401953,1,1,1
Cassilis,port,NSW,-32.0063935,149.9788361,1,1,1
Cessnock,port,NSW,-32.8345782,151.3564619,3,3,3
Coffs Harbour,port,NSW,-30.296312100000005,153.11567219999998,1,1,1
Dalby,port,QLD,-27.183286300000002,151.2637479,2,2,2
Gloucester,port,NSW,-32.0076329,151.9582565,1,1,1
Goulburn,port,NSW,-34.7548346,149.7186486,1,1,1
Grafton,port,NSW,-29.691122600000003,152.9331993,1,1,1
Gundagai,port,NSW,-35.065339,148.1071728,1,1,1
Gympie,port,QLD,-26.1902977,152.6653914,1,1,1
Ipswich,port,QLD,-27.6140934,152.7584716,2,2,2
Lismore ,port,NSW,-28.8279803,153.2857165,2,2,2
Mackay,port,QLD,-21.141210100000002,149.1856253,1,1,1
Merimbula,port,NSW,-36.8880112,149.90632769999996,1,1,1
Molong,port,NSW,-33.0922899,148.8712315,1,1,1
Mulbring,port,NSW,-32.9028391,151.48237619999998,1,1,1
Newcastle,port,NSW,-32.926689,151.7789205,1,1,1
Nimmitabel,port,NSW,-36.5123017,149.28439540000002,1,1,1
Norwell,port,QLD,-27.786766399999998,153.3150421,1,1,1
Oberon,port,NSW,-33.704174,149.8574075,1,1,1
Quirindi,port,NSW,-31.507798600000005,150.680106,1,1,1
Redbank Plains,port,QLD,-27.64667,152.86918630000002,1,1,1
Rockhampton,port,QLD,-23.3779152,150.51010259999998,2,2,2
Toowoomba,port,QLD,-27.564329999999998,151.95398740000002,2,2,2
Tumbarumba,port,NSW,-35.7772429,148.0113753,1,1,1
Tumut,port,NSW,-35.301066799999994,148.2239419,1,1,1
Uarbry,port,NSW,-32.0472601,149.76472980000003,1,1,1
Ungarie,port,NSW,-33.637948,146.9702852,1,1,1
Warwick,port,QLD,-28.214373300000002,152.0351449,1,1,1
Werris Creek,port,NSW,-31.349085700000003,150.6471759,1,1,1
Wollongong,port,NSW,-34.425072799999995,150.8931494,1,1,1
Yass,port,NSW,-34.8424907,148.91161110000002,1,1,1
