location-name,word,state,lat,lon,count
Adelaide,potato fritter,SA,-34.92862120000001,138.59995940000002,2
Albany,potato scallop,WA,-35.023822700000004,117.88472859999999,1
Albury,potato cake,NSW,-36.0807785,146.91646930000002,3
Allansford,potato cake,VIC,-38.385468100000004,142.5908483,2
Androssan,potato fritter,SA,-34.423070200000005,137.9174283,1
Angaston,potato fritter,SA,-34.501144599999996,139.0480842,1
Ardlethan,potato scallop,NSW,-34.3570342,146.9034906,2
Ariah Park,scallop,NSW,-34.34809370000001,147.21901169999998,1
Ballarat,potato cake,VIC,-37.5636495,143.8671868,1
Balranald,potato cake,NSW,-34.6394729,143.56298030000002,3
Barellan,scallop,NSW,-34.2847539,146.5722145,1
Barmedman,scallop,NSW,-34.14281079999999,147.3863825,2
Batemans Bay,potato scallop,NSW,-35.708419899999996,150.17761330000002,1
Batemans Bay,scallop,NSW,-35.708419899999996,150.17761330000002,1
Bathurst,potato scallop,NSW,-33.4176529,149.5810314,1
Bathurst,scallop,NSW,-33.4176529,149.5810314,2
Bega,potato cake,NSW,-36.6742276,149.8429277,1
Benalla,potato cake,VIC,-36.5514956,145.98170190000002,1
Bendigo,potato cake,VIC,-36.7587112,144.2837459,4
Bendoc,potato cake,VIC,-37.1459017,148.8750406,1
Bermagui,potato scallop,NSW,-36.4292545,150.07603500000002,2
Birchip,potato cake,VIC,-35.980698,142.9173414,1
Bombala,potato scallop,NSW,-36.912262299999995,149.2382362,2
Bordertown,potato cake,SA,-36.3111665,140.7733804,5
Bordertown,potato fritter,SA,-36.3111665,140.7733804,1
Braidwood,potato fritter,NSW,-35.4459966,149.79904380000002,1
Brisbane,scallop,QLD,-27.4710107,153.0234489,2
Broken Hill,scallop,NSW,-31.9558583,141.4651361,1
Burra,potato fritter,SA,-33.682717700000005,138.9379596,4
Camperdown,potato cake,VIC,-38.233931899999995,143.1496795,1
Canberra,potato cake,ACT,-35.282,149.12868400000002,1
Canberra,potato scallop,ACT,-35.282,149.12868400000002,7
Canberra,scallop,ACT,-35.282,149.12868400000002,18
Caragabal,scallop,NSW,-33.843958799999996,147.7401953,2
Cassilis,scallop,NSW,-32.0063935,149.9788361,1
Casterton,potato cake,VIC,-37.584567799999995,141.40523290000002,4
