location-name,word,state,lat,lon,location-code,code,count
Adelaide,slippery dip,SA,-34.92862120000001,138.59995940000002,4,4,4
Albany,slide,WA,-35.023822700000004,117.88472859999999,1,1,1
Albury,slippery dip,NSW,-36.0807785,146.91646930000002,3,3,3
Allansford,slide,VIC,-38.385468100000004,142.5908483,2,2,2
Angaston,slippery dip,SA,-34.501144599999996,139.0480842,1,1,1
Ardlethan,slide,NSW,-34.3570342,146.9034906,1,1,1
Ardlethan,slippery dip,NSW,-34.3570342,146.9034906,1,1,1
Ariah Park,slippery dip,NSW,-34.34809370000001,147.21901169999998,1,1,1
Baan Baa,slippery dip,NSW,-30.5981613,149.9523304,2,2,2
Ballarat,slide,VIC,-37.5636495,143.8671868,1,1,1
Balranald,slide,NSW,-34.6394729,143.56298030000002,1,1,1
Balranald,slippery dip,NSW,-34.6394729,143.56298030000002,1,1,1
Balranald,slippery slide,NSW,-34.6394729,143.56298030000002,2,2,2
Barellan,slippery dip,NSW,-34.2847539,146.5722145,1,1,1
Barmedman,slippery dip,NSW,-34.14281079999999,147.3863825,2,2,2
Batemans Bay,slippery dip,NSW,-35.708419899999996,150.17761330000002,2,2,2
Bathurst,slippery dip,NSW,-33.4176529,149.5810314,3,3,3
Bega,slippery slide,NSW,-36.6742276,149.8429277,1,1,1
Benalla,slide,VIC,-36.5514956,145.98170190000002,1,1,1
Bendigo,slide,VIC,-36.7587112,144.2837459,3,3,3
Bendoc,slippery dip,VIC,-37.1459017,148.8750406,1,1,1
Bermagui,slippery dip,NSW,-36.4292545,150.07603500000002,2,2,2
Berri,slippery dip,SA,-34.2852369,140.6022954,1,1,1
Birchip,slide,VIC,-35.980698,142.9173414,1,1,1
Bombala,slippery dip,NSW,-36.912262299999995,149.2382362,1,1,1
Bombala,slippery slide,NSW,-36.912262299999995,149.2382362,1,1,1
Booligal,slippery dip,NSW,-33.8695883,144.88467480000003,1,1,1
Bordertown,slippery dip,SA,-36.3111665,140.7733804,5,5,5
Bordertown,slippery slide,SA,-36.3111665,140.7733804,1,1,1
Braidwood,slippery dip,NSW,-35.4459966,149.79904380000002,1,1,1
Bribbaree,slippery dip,NSW,-34.120968,147.8838165,1,1,1
Brisbane,slippery dip,QLD,-27.4710107,153.0234489,1,1,1
Brisbane,slippery slide,QLD,-27.4710107,153.0234489,1,1,1
Broken Hill,slippery dip,NSW,-31.9558583,141.4651361,1,1,1
Burra,slippery dip,SA,-33.682717700000005,138.9379596,5,5,5
Busselton,slide,WA,-33.6499446,115.3446115,1,1,1
Camperdown,slide,VIC,-38.233931899999995,143.1496795,1,1,1
Canberra,slide,ACT,-35.282,149.12868400000002,4,4,4
Canberra,slippery dip,ACT,-35.282,149.12868400000002,21,21,21
Canberra,slippery slide,ACT,-35.282,149.12868400000002,2,2,2
Cann River,slide,VIC,-37.565214700000006,149.1513706,1,1,1
Caragabal,slippery dip,NSW,-33.843958799999996,147.7401953,1,1,1
Cassilis,slippery dip,NSW,-32.0063935,149.9788361,1,1,1
Casterton,slide,VIC,-37.584567799999995,141.40523290000002,5,5,5
Cessnock,slippery dip,NSW,-32.8345782,151.3564619,4,4,4
Clare,slippery dip,SA,-33.8332575,138.6118517,4,4,4
Coffs Harbour,slippery dip,NSW,-30.296312100000005,153.11567219999998,1,1,1
Colac,slide,VIC,-38.3400445,143.5844382,1,1,1
Condobolin,slippery dip,NSW,-33.0889514,147.1510598,2,2,2
Coobowie,slippery dip,SA,-35.0441306,137.7315702,1,1,1
Coolamon,slippery dip,NSW,-34.8173634,147.1979156,2,2,2
Cooma,slippery dip,NSW,-36.2352845,149.1252802,2,2,2
Corryong,slide,VIC,-36.1960059,147.9039936,3,3,3
Cowra,slippery dip,NSW,-33.8347103,148.69121830000003,1,1,1
Culcairn,slippery dip,NSW,-35.6676244,147.0380914,2,2,2
Curlwaa,slippery dip,NSW,-34.098567200000005,141.9679627,1,1,1
Curramulka,slippery dip,SA,-34.6990161,137.7100843,1,1,1
Dalby,slippery slide,QLD,-27.183286300000002,151.2637479,2,2,2
Dareton,slide,NSW,-34.108367,142.13815780000002,3,3,3
Dareton,slippery dip,NSW,-34.108367,142.13815780000002,1,1,1
Dareton,slippery slide,NSW,-34.108367,142.13815780000002,1,1,1
Darwin,slippery dip,NT,-12.4628271,130.84177720000002,1,1,1
Delegate,slippery dip,NSW,-37.0438422,148.9416796,1,1,1
Deniliquin,slide,NSW,-35.523140000000005,144.9823858,1,1,1
Deniliquin,slippery dip,NSW,-35.523140000000005,144.9823858,1,1,1
Deniliquin,slippery slide,NSW,-35.523140000000005,144.9823858,1,1,1
Dubbo,slippery dip,NSW,-32.2438146,148.6094976,1,1,1
Echuca,slide,VIC,-36.1277236,144.74949730000003,2,2,2
Eden,slide,NSW,-37.0637713,149.9020872,1,1,1
Eden,slippery dip,NSW,-37.0637713,149.9020872,4,4,4
Edenhope,slide,VIC,-37.035927799999996,141.2971462,2,2,2
Forbes,slippery dip,NSW,-33.3853703,148.0080124,1,1,1
Geelong,slide,VIC,-38.15,144.35,1,1,1
Glen Innes,slippery dip,NSW,-29.737663800000004,151.7402506,1,1,1
Gloucester,slippery dip,NSW,-32.0076329,151.9582565,1,1,1
Goolgowi,slippery dip,NSW,-33.9805417,145.7120997,1,1,1
Goolwa,slippery dip,SA,-35.501982899999994,138.7830996,3,3,3
Gosford,slippery dip,NSW,-33.42502,151.3422194,1,1,1
Goulburn,slippery dip,NSW,-34.7548346,149.7186486,1,1,1
Grafton,slippery dip,NSW,-29.691122600000003,152.9331993,1,1,1
Griffith,slippery dip,NSW,-34.2872974,146.04583689999998,4,4,4
Grong Grong,slippery dip,NSW,-34.738855,146.78461719999999,1,1,1
Gundagai,slippery slide,NSW,-35.065339,148.1071728,1,1,1
Gympie,slippery slide,QLD,-26.1902977,152.6653914,2,2,2
Hay,slide,NSW,-34.509313,144.8435657,1,1,1
Hay,slippery dip,NSW,-34.509313,144.8435657,6,6,6
Henty,slippery dip,NSW,-35.5170955,147.03422980000002,3,3,3
Hillston,slippery dip,NSW,-33.4856919,145.5316166,1,1,1
Hillston,slippery slide,NSW,-33.4856919,145.5316166,1,1,1
Hobart,slide,TAS,-42.881903,147.323814,2,2,2
Hobart,slippery slide,TAS,-42.881903,147.323814,1,1,1
Holbrook,slippery dip,NSW,-35.7268382,147.31163600000002,1,1,1
Holbrook,slippery slide,NSW,-35.7268382,147.31163600000002,1,1,1
Hopetoun,slide,VIC,-35.7277152,142.3635906,2,2,2
Huskisson,slippery dip,NSW,-35.0388078,150.67075269999998,1,1,1
Ipswich,slippery slide,QLD,-27.6140934,152.7584716,2,2,2
Ivanhoe,slippery dip,NSW,-32.8997751,144.3004456,1,1,1
Jeparit,slide,VIC,-36.140915899999996,141.9888636,2,2,2
Jerilderie,slippery slide,NSW,-35.3567745,145.73094419999998,1,1,1
Jindabyne,slippery dip,NSW,-36.41479,148.6110247,1,1,1
Junee,slippery dip,NSW,-34.8703676,147.5848314,4,4,4
Kadina,slippery dip,SA,-33.9635146,137.71424219999997,4,4,4
Kangaroo Valley,slippery dip,NSW,-34.7341224,150.52587649999998,1,1,1
Keith,slippery dip,SA,-36.098124,140.3536136,2,2,2
Kilmore,slide,VIC,-37.2928685,144.95125819999998,1,1,1
Kingston,slippery dip,SA,-36.8299148,139.85277969999999,2,2,2
Kingston,slippery slide,SA,-36.8299148,139.85277969999999,1,1,1
Kingston-on-Murray,slippery dip,SA,-34.223417700000006,140.3473068,1,1,1
Kybybolite,slippery dip,SA,-36.871444399999994,140.9238129,1,1,1
Lake Cargelligo,slippery dip,NSW,-33.2983593,146.3739716,2,2,2
Lakes Entrance,slide,VIC,-37.8795844,147.99160469999998,1,1,1
Lameroo,slippery dip,SA,-35.328886700000005,140.5195645,5,5,5
Leeton,slippery dip,NSW,-34.551393299999994,146.4066521,1,1,1
