location-name,word,state,lat,lon,count
Adelaide,bathers,SA,-34.9286212,138.5999594,4
Albany,bathers,WA,-35.0238227,117.8847286,1
Albury,swimmers,NSW,-36.0807785,146.9164693,1
Albury,togs,NSW,-36.0807785,146.9164693,2
Allansford,togs,VIC,-38.3854681,142.5908483,2
Androssan,bathers,SA,-34.4230702,137.9174283,1
Angaston,bathers,SA,-34.5011446,139.0480842,1
Ardlethan,swimmers,NSW,-34.3570342,146.9034906,2
Ariah Park,swimmers,NSW,-34.3480937,147.2190117,1
Ballarat,togs,VIC,-37.5636495,143.8671868,1
Balranald,bathers,NSW,-34.6394729,143.5629803,2
Balranald,togs,NSW,-34.6394729,143.5629803,1
Barellan,swimmers,NSW,-34.2847539,146.5722145,1
Barmedman,swimmers,NSW,-34.1428108,147.3863825,2
Batemans Bay,swimmers,NSW,-35.7084199,150.1776133,2
Bathurst,swimmers,NSW,-33.4176529,149.5810314,2
Bega,swimmers,NSW,-36.6742276,149.8429277,1
Benalla,bathers,VIC,-36.5514956,145.9817019,1
Bendigo,bathers,VIC,-36.7587112,144.2837459,2
Bendigo,togs,VIC,-36.7587112,144.2837459,2
Bendoc,swimmers,VIC,-37.1459017,148.8750406,1
Bermagui,swimmers,NSW,-36.4292545,150.076035,1
Berri,bathers,SA,-34.2852369,140.6022954,1
Birchip,togs,VIC,-35.980698,142.9173414,1
Bombala,swimmers,NSW,-36.9122623,149.2382362,1
Bordertown,bathers,SA,-36.3111665,140.7733804,5
Brisbane,togs,QLD,-27.4710107,153.0234489,2
Broken Hill,bathers,NSW,-31.9558583,141.4651361,1
Burra,bathers,SA,-33.6827177,138.9379596,5
Busselton,bathers,WA,-33.6499446,115.3446115,1
Camperdown,bathers,VIC,-38.2339319,143.1496795,1
Canberra,bathers,ACT,-35.282,149.128684,2
Canberra,cozzie(s),ACT,-35.282,149.128684,3
Canberra,swimmers,ACT,-35.282,149.128684,12
Canberra,togs,ACT,-35.282,149.128684,6
Cann River,bathers,VIC,-37.5652147,149.1513706,1
Caragabal,swimmers,NSW,-33.8439588,147.7401953,2
Caragabal,togs,NSW,-33.8439588,147.7401953,1
Cassilis,cozzie(s),NSW,-32.0063935,149.9788361,1
Casterton,bathers,VIC,-37.5845678,141.4052329,4
Casterton,swimmers,VIC,-37.5845678,141.4052329,1
Cessnock,swimmers,NSW,-32.8345782,151.3564619,3
Clare,bathers,SA,-33.8332575,138.6118517,4
Coffs Harbour,swimmers,NSW,-30.2963121,153.1156722,1
Colac,bathers,VIC,-38.3400445,143.5844382,1
Colac,togs,VIC,-38.3400445,143.5844382,1
Coleambally,swimmers,NSW,-34.7970145,145.8793249,1
Coleambally,togs,NSW,-34.7970145,145.8793249,1
Coleraine,togs,VIC,-37.5982663,141.6911409,1
Condobolin,cozzie(s),NSW,-33.0889514,147.1510598,1
Condobolin,swimmers,NSW,-33.0889514,147.1510598,1
Coobowie,bathers,SA,-35.0441306,137.7315702,2
Coolamon,togs,NSW,-34.8173634,147.1979156,2
Cooma,swimmers,NSW,-36.2352845,149.1252802,2
Corryong,togs,VIC,-36.1960059,147.9039936,2
Culcairn,bathers,NSW,-35.6676244,147.0380914,1
